,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership
0,RightInThe McManus,Dalvin Cook,11.511764705882351,15.193529411764704,RB,17
1,RightInThe McManus,Travis Kelce,21.747058823529414,17.282941176470587,TE,17
2,RightInThe McManus,Terry McLaurin,11.676470588235293,12.290000000000001,WR,17
3,RightInThe McManus,Brandin Cooks,7.270588235294118,9.371176470588235,WR,17
4,RightInThe McManus,Devin Singletary,10.464705882352941,10.323529411764708,RB,17
5,RightInThe McManus,Amari Cooper,14.035294117647059,11.345882352941176,WR,17
6,RightInThe McManus,Russell Wilson,7.836923076923076,11.918461538461536,QB,13
7,RightInThe McManus,Rashaad Penny,7.720000000000001,11.586,RB,5
8,RightInThe McManus,Ravens D/ST,9.705882352941176,5.467647058823529,D/ST,17
9,RightInThe McManus,Matthew Stafford,9.248,17.208000000000002,QB,5
10,RightInThe McManus,Skyy Moore,1.0,3.4299999999999997,WR,4
11,RightInThe McManus,Brandon McManus,6.0588235294117645,6.84,K,17
12,RightInThe McManus,Treylon Burks,5.582352941176471,4.6911764705882355,WR,17
13,RightInThe McManus,Khalil Herbert,7.3470588235294105,4.694705882352942,RB,17
14,RightInThe McManus,Tua Tagovailoa,11.767058823529412,14.408235294117649,QB,17
15,RightInThe McManus,Isiah Pacheco,6.514285714285713,6.161428571428571,RB,7
16,RightInThe McManus,Irv Smith Jr.,10.7,7.73,TE,1
17,RightInThe McManus,Tyler Allgeier,9.022222222222222,7.403333333333332,RB,9
18,RightInThe McManus,Mack Hollins,6.1,9.99,WR,4
19,RightInThe McManus,Daniel Jones,18.01,13.645000000000001,QB,12
20,RightInThe McManus,Devin Duvernay,2.716666666666667,7.55,WR,12
21,RightInThe McManus,Panthers D/ST,-0.5,4.355,D/ST,4
22,RightInThe McManus,Joey Slye,5.333333333333333,5.033333333333334,K,9
23,RightInThe McManus,Saints D/ST,4.25,3.7199999999999998,D/ST,8
24,RightInThe McManus,Travis Homer,2.7,7.535,RB,4
25,Hot Chubb Time  Machine 2,Matthew Stafford,10.32,14.8,QB,1
26,Hot Chubb Time  Machine 2,Isiah Pacheco,8.24,7.112,RB,10
27,Hot Chubb Time  Machine 2,Alexander Mattison,3.0777777777777784,3.9577777777777783,RB,9
28,Hot Chubb Time  Machine 2,Elijah Moore,3.3000000000000003,10.596666666666666,WR,3
29,Hot Chubb Time  Machine 2,Irv Smith Jr.,0.0,9.02,TE,1
30,Hot Chubb Time  Machine 2,Damien Williams,0.05714285714285715,2.46,RB,7
31,Hot Chubb Time  Machine 2,Derek Carr,10.706666666666665,16.563333333333333,QB,3
32,Hot Chubb Time  Machine 2,Hunter Henry,4.0,9.11,TE,1
33,Hot Chubb Time  Machine 2,Justin Fields,15.037777777777778,9.115555555555554,QB,9
34,Hot Chubb Time  Machine 2,Justin Jefferson,18.367058823529412,16.0,WR,17
35,Hot Chubb Time  Machine 2,Aaron Jones,17.094117647058823,13.507647058823526,RB,17
36,Hot Chubb Time  Machine 2,Nick Chubb,17.988235294117644,14.271764705882354,RB,17
37,Hot Chubb Time  Machine 2,Travis Etienne Jr.,10.882352941176473,11.566470588235294,RB,17
38,Hot Chubb Time  Machine 2,Courtland Sutton,9.71764705882353,10.69764705882353,WR,17
39,Hot Chubb Time  Machine 2,Darnell Mooney,7.750000000000001,10.315,WR,12
40,Hot Chubb Time  Machine 2,Chase Edmonds,1.9714285714285713,8.157142857142857,RB,7
41,Hot Chubb Time  Machine 2,Trey Lance,2.5,17.98,QB,2
42,Hot Chubb Time  Machine 2,Brandon Aiyuk,11.076470588235296,9.878235294117648,WR,17
43,Hot Chubb Time  Machine 2,George Pickens,10.982352941176472,8.583529411764706,WR,17
44,Hot Chubb Time  Machine 2,Darrell Henderson Jr.,5.699999999999999,7.188750000000001,RB,8
45,Hot Chubb Time  Machine 2,Kenneth Gainwell,2.8,6.89,RB,4
46,Hot Chubb Time  Machine 2,Ryan Succop,6.333333333333333,6.528333333333333,K,12
47,Hot Chubb Time  Machine 2,Broncos D/ST,7.0,7.25,D/ST,2
48,Hot Chubb Time  Machine 2,Gerald Everett,6.922222222222223,8.755555555555556,TE,9
49,Hot Chubb Time  Machine 2,Wan'Dale Robinson,5.5,3.37,WR,4
50,Hot Chubb Time  Machine 2,Isaiah McKenzie,2.9,11.91,WR,1
51,Hot Chubb Time  Machine 2,Jaylen Warren,2.2,4.864999999999999,RB,4
52,Hot Chubb Time  Machine 2,Romeo Doubs,21.3,8.92,WR,1
53,Hot Chubb Time  Machine 2,Jared Goff,18.360000000000003,15.293333333333331,QB,3
54,Hot Chubb Time  Machine 2,Gus Edwards,3.0666666666666664,2.5866666666666664,RB,3
55,Hot Chubb Time  Machine 2,Eagles D/ST,6.2,5.738666666666666,D/ST,15
56,Hot Chubb Time  Machine 2,Josh Reynolds,15.2,11.6,WR,2
57,Hot Chubb Time  Machine 2,Jets D/ST,6.0,6.85,D/ST,1
58,Hot Chubb Time  Machine 2,Jason Myers,12.0,7.775,K,2
59,Hot Chubb Time  Machine 2,Isaiah Likely,9.4,10.02,TE,1
60,Hot Chubb Time  Machine 2,Kadarius Toney,0.0,3.5766666666666667,WR,3
61,Hot Chubb Time  Machine 2,Cameron Dicker,12.0,7.25,K,3
62,Hot Chubb Time  Machine 2,Greg Dulcich,5.5875,8.54875,TE,8
63,Hot Chubb Time  Machine 2,Christian Watson,15.028571428571428,7.579999999999999,WR,7
64,Hot Chubb Time  Machine 2,James Cook,2.5,8.73,RB,1
65,Hot Chubb Time  Machine 2,Taylor Heinicke,11.42,15.2,QB,1
66,Hot Chubb Time  Machine 2,Cole Kmet,13.2,8.78,TE,1
67,Hot Chubb Time  Machine 2,Michael Gallup,6.0,10.43,WR,1
68,3 PP Wine,Christian McCaffrey,15.417647058823531,16.516470588235293,RB,17
69,3 PP Wine,James Conner,11.658823529411764,13.200588235294118,RB,17
70,3 PP Wine,Keenan Allen,6.188235294117647,7.288823529411765,WR,17
71,3 PP Wine,Josh Allen,23.227058823529408,21.22176470588235,QB,17
72,3 PP Wine,George Kittle,7.917647058823529,6.911764705882353,TE,17
73,3 PP Wine,Michael Thomas,10.3,6.345,WR,8
74,3 PP Wine,Miles Sanders,15.817647058823528,11.36941176470588,RB,17
75,3 PP Wine,Drake London,7.705882352941177,10.861176470588234,WR,17
76,3 PP Wine,Allen Lazard,10.08235294117647,10.047058823529412,WR,17
77,3 PP Wine,Packers D/ST,3.8,5.914,D/ST,5
78,3 PP Wine,DeAndre Hopkins,9.076470588235294,8.399411764705883,WR,17
79,3 PP Wine,Harrison Butker,10.0,8.015833333333333,K,12
80,3 PP Wine,Alexander Mattison,3.4750000000000005,3.90625,RB,8
81,3 PP Wine,David Njoku,1.7,7.96,TE,1
82,3 PP Wine,Jameis Winston,14.65,15.9,QB,2
83,3 PP Wine,Jameson Williams,0.6529411764705882,0.3141176470588235,WR,17
84,3 PP Wine,Bengals D/ST,4.0,6.0371428571428565,D/ST,7
85,3 PP Wine,Jake Elliott,5.0,8.19,K,1
86,3 PP Wine,Taysom Hill,6.41,6.84,TE,2
87,3 PP Wine,Dustin Hopkins,8.666666666666666,7.616666666666667,K,3
88,3 PP Wine,Mark Ingram II,3.6,5.42,RB,1
89,3 PP Wine,Gerald Everett,7.114285714285714,8.288571428571428,TE,7
90,3 PP Wine,Browns D/ST,0.0,6.88,D/ST,1
91,3 PP Wine,Jimmy Garoppolo,13.895,14.825000000000001,QB,4
92,3 PP Wine,Greg Dortch,1.6,10.55,WR,2
93,3 PP Wine,Eno Benjamin,10.042857142857143,8.858571428571429,RB,7
94,3 PP Wine,Gus Edwards,5.654545454545455,2.7536363636363634,RB,11
95,3 PP Wine,Mike Boone,11.5,7.92,RB,2
96,3 PP Wine,Matthew Wright,7.0,7.87,K,1
97,3 PP Wine,Tyler Conklin,7.4,6.8,TE,1
98,3 PP Wine,Jets D/ST,4.0,5.9,D/ST,1
99,3 PP Wine,Matt Ryan,9.92,15.75,QB,1
100,3 PP Wine,Kadarius Toney,0.64,2.948,WR,5
101,3 PP Wine,Vikings D/ST,8.0,5.51,D/ST,1
102,3 PP Wine,Dontrell Hilliard,1.8,6.69,RB,1
103,3 PP Wine,Raiders D/ST,7.0,5.385,D/ST,2
104,3 PP Wine,Odell Beckham Jr.,0.0,0.0,WR,8
105,3 PP Wine,Titans D/ST,6.0,5.13,D/ST,2
106,3 PP Wine,James Cook,3.1500000000000004,7.735000000000001,RB,4
107,3 PP Wine,Chiefs D/ST,8.0,6.77,D/ST,1
108,Dakcidental  Thumblers ,Packers D/ST,5.5,5.665,D/ST,2
109,Dakcidental  Thumblers ,Elijah Moore,2.8333333333333335,10.096666666666666,WR,3
110,Dakcidental  Thumblers ,Ja'Marr Chase,14.511764705882355,14.185294117647057,WR,17
111,Dakcidental  Thumblers ,Mark Andrews,9.788235294117646,12.698823529411767,TE,17
112,Dakcidental  Thumblers ,Cam Akers,0.6916666666666668,6.040833333333333,RB,12
113,Dakcidental  Thumblers ,David Montgomery,9.564705882352941,12.214117647058824,RB,17
114,Dakcidental  Thumblers ,Jerry Jeudy,12.729411764705883,12.337058823529413,WR,17
115,Dakcidental  Thumblers ,Dak Prescott,12.083529411764705,12.673529411764706,QB,17
116,Dakcidental  Thumblers ,Rashod Bateman,4.65,8.855,WR,8
117,Dakcidental  Thumblers ,Tony Pollard,12.941176470588236,11.212941176470588,RB,17
118,Dakcidental  Thumblers ,Tyler Lockett,11.658823529411766,13.38941176470588,WR,17
119,Dakcidental  Thumblers ,Garrett Wilson,9.647058823529411,10.486470588235292,WR,17
120,Dakcidental  Thumblers ,Michael Carter,6.211764705882352,8.631176470588237,RB,17
121,Dakcidental  Thumblers ,Hunter Henry,3.72,7.162000000000001,TE,5
122,Dakcidental  Thumblers ,Colts D/ST,5.117647058823529,5.481764705882353,D/ST,17
123,Dakcidental  Thumblers ,Justin Fields,28.18,15.04,QB,2
124,Dakcidental  Thumblers ,Matt Prater,4.5,7.87,K,4
125,Dakcidental  Thumblers ,Nico Collins,5.470588235294118,4.88470588235294,WR,17
126,Dakcidental  Thumblers ,Cade York,7.5,7.602500000000001,K,4
127,Dakcidental  Thumblers ,Trevor Lawrence,13.97777777777778,17.203333333333333,QB,9
128,Dakcidental  Thumblers ,Ryan Tannehill,13.153333333333334,15.083333333333334,QB,3
129,Dakcidental  Thumblers ,Matthew Wright,7.0,7.87,K,1
130,Dakcidental  Thumblers ,Zach Wilson,12.433333333333332,14.700000000000001,QB,3
131,Dakcidental  Thumblers ,Robert Tonyan,5.977777777777778,6.941111111111112,TE,9
132,Dakcidental  Thumblers ,Chris Boswell,6.333333333333333,5.343333333333334,K,3
133,Dakcidental  Thumblers ,Cairo Santos,6.4,8.175999999999998,K,5
134,Dakcidental  Thumblers ,Terrace Marshall Jr.,4.344444444444444,6.023333333333333,WR,9
135,Dakcidental  Thumblers ,Seahawks D/ST,6.4,5.177999999999999,D/ST,5
136,Country Road Take Mahomes ,Packers D/ST,3.0,6.3,D/ST,1
137,Country Road Take Mahomes ,Dolphins D/ST,8.0,5.027777777777778,D/ST,9
138,Country Road Take Mahomes ,Irv Smith Jr.,10.7,7.73,TE,1
139,Country Road Take Mahomes ,Evan Engram,9.763636363636364,8.94909090909091,TE,11
140,Country Road Take Mahomes ,Allen Robinson II,8.64,8.442,WR,5
141,Country Road Take Mahomes ,Dawson Knox,12.8,7.92,TE,1
142,Country Road Take Mahomes ,Steelers D/ST,7.25,5.6625,D/ST,4
143,Country Road Take Mahomes ,D'Andre Swift,12.641176470588235,12.147647058823528,RB,17
144,Country Road Take Mahomes ,Stefon Diggs,21.976470588235294,18.339411764705883,WR,17
145,Country Road Take Mahomes ,Patrick Mahomes,19.163529411764703,19.73411764705882,QB,17
146,Country Road Take Mahomes ,DK Metcalf,12.676470588235292,14.748823529411764,WR,17
147,Country Road Take Mahomes ,Kareem Hunt,6.35294117647059,9.49705882352941,RB,17
148,Country Road Take Mahomes ,Darren Waller,6.670588235294118,5.799411764705883,TE,17
149,Country Road Take Mahomes ,Antonio Gibson,10.111764705882353,10.342941176470587,RB,17
150,Country Road Take Mahomes ,DeVonta Smith,19.176470588235297,12.483529411764707,WR,17
151,Country Road Take Mahomes ,Evan McPherson,6.75,7.9399999999999995,K,16
152,Country Road Take Mahomes ,Jahan Dotson,8.528571428571428,6.557142857142857,WR,7
153,Country Road Take Mahomes ,Brian Robinson Jr.,6.6117647058823525,6.9411764705882355,RB,17
154,Country Road Take Mahomes ,Mac Jones,13.983999999999998,14.66,QB,5
155,Country Road Take Mahomes ,Robbie Anderson,2.64,10.373999999999999,WR,5
156,Country Road Take Mahomes ,Raheem Mostert,9.488235294117647,10.16705882352941,RB,17
157,Country Road Take Mahomes ,Hayden Hurst,6.633333333333333,7.973333333333333,TE,3
158,Country Road Take Mahomes ,Browns D/ST,4.0,6.8359999999999985,D/ST,5
159,Country Road Take Mahomes ,Rams D/ST,5.833333333333333,6.169999999999999,D/ST,12
160,Country Road Take Mahomes ,Jared Goff,13.354,12.940000000000001,QB,10
161,Country Road Take Mahomes ,Josh Reynolds,15.2,11.6,WR,1
162,Country Road Take Mahomes ,Jaguars D/ST,1.0,7.535,D/ST,2
163,Country Road Take Mahomes ,Ben Skowronek,16.7,6.51,WR,1
164,Country Road Take Mahomes ,Chuba Hubbard,5.85,6.965,RB,4
165,Country Road Take Mahomes ,Cameron Dicker,12.0,7.25,K,1
166,Country Road Take Mahomes ,Saints D/ST,4.0,6.36,D/ST,1
167,Country Road Take Mahomes ,Foster Moreau,4.2,8.6,TE,3
168,Country Road Take Mahomes ,Juwan Johnson,11.2,8.08,TE,1
169,Trash Trash,David Njoku,3.342857142857142,5.395714285714285,TE,14
170,Trash Trash,Evan Engram,12.9,6.65,TE,1
171,Trash Trash,Rex Burkhead,1.2,7.71,RB,1
172,Trash Trash,Taysom Hill,5.531999999999999,6.82,TE,5
173,Trash Trash,Broncos D/ST,-4.0,8.02,D/ST,2
174,Trash Trash,Najee Harris,12.436470588235293,13.147647058823527,RB,17
175,Trash Trash,Saquon Barkley,18.95882352941177,20.05294117647059,RB,17
176,Trash Trash,Tee Higgins,11.682352941176472,12.965882352941176,WR,17
177,Trash Trash,Mike Williams,9.752941176470586,9.155882352941177,WR,17
178,Trash Trash,Elijah Mitchell,0.0,0.0,RB,14
179,Trash Trash,Allen Robinson II,8.64,8.442,WR,5
180,Trash Trash,Adam Thielen,8.799999999999997,11.547647058823529,WR,17
181,Trash Trash,Aaron Rodgers,14.8,16.298235294117646,QB,17
182,Trash Trash,Dawson Knox,9.933333333333332,8.533333333333333,TE,3
183,Trash Trash,Chase Claypool,10.867999999999999,9.928,WR,10
184,Trash Trash,Nyheim Hines,4.516666666666667,6.4750000000000005,RB,6
185,Trash Trash,Julio Jones,0.0,0.0,WR,5
186,Trash Trash,Jeff Wilson Jr.,8.90625,9.273125,RB,16
187,Trash Trash,Jaylen Warren,1.9,6.76,RB,2
188,Trash Trash,Marcus Mariota,16.846666666666668,15.653333333333334,QB,3
189,Trash Trash,Steelers D/ST,5.0,6.68,D/ST,1
190,Trash Trash,Cade York,12.0,7.47,K,1
191,Trash Trash,Mecole Hardman,1.2,11.25,WR,1
192,Trash Trash,Buccaneers D/ST,-1.0,3.0,D/ST,1
193,Trash Trash,Trevor Lawrence,16.36,18.47,QB,1
194,Trash Trash,Ryan Tannehill,14.38,15.1,QB,1
195,Trash Trash,Jared Goff,25.7,15.47,QB,1
196,Trash Trash,Younghoe Koo,6.666666666666667,5.17,K,3
197,Trash Trash,Jaguars D/ST,5.75,6.9575,D/ST,4
198,Trash Trash,Latavius Murray,9.76923076923077,8.679230769230768,RB,13
199,Trash Trash,Alec Pierce,10.966666666666667,8.4,WR,3
200,Trash Trash,Brett Maher,8.818181818181818,7.604545454545455,K,11
